ab_speed,total_force,FlexXForce,LatXForce
0.00217,39.33282497,3.428249024,3.429350343
0.00171,38.80454152,3.386860384,3.38468733
0.00161,38.17216546,3.336628983,3.332201012
0.00108,37.76556867,3.309019127,3.305809054
0.00066,37.36836265,3.292900117,3.301420103
0.0017,37.15196481,3.289806484,3.311651839
0.00137,37.14299442,3.298669334,3.330166594
0.00149,37.0042699,3.296340363,3.33678603
0.00195,36.44691385,3.257989629,3.310363844
0.00159,36.03931607,3.230924686,3.292768152
0.00148,35.60525582,3.201268551,3.272336641
0.00096,35.23752931,3.178425144,3.25778006
0.00069,34.88144737,3.159561503,3.244986167
0.00211,34.6767208,3.146912413,3.229443008
0.00132,34.6741104,3.15014293,3.231106978
0.00135,34.63502835,3.149709478,3.228885153
0.0021,34.29876393,3.123931419,3.199525894
0.00162,33.90526079,3.091820731,3.164479705
0.00157,33.57982034,3.065837597,3.136053001
0.00145,33.2697231,3.04218348,3.110319873
0.0009,32.96853186,3.021565945,3.091426264
0.00089,32.70543647,3.00399434,3.080950232
0.00156,32.61555497,3.003566457,3.09042168
0.00216,32.59785343,3.011715678,3.112443045
0.00282,32.27268192,2.993613975,3.111925627
0.00139,32.00399195,2.974771052,3.101250828
0.00122,31.71111201,2.953890084,3.088059799
0.00101,31.44525412,2.939816808,3.084590758
0.00028,31.19321947,2.925612054,3.07749184
0.00121,30.95673912,2.909933477,3.06199298
0.00206,30.87741956,2.909579245,3.059797891
0.00282,30.8584337,2.916121985,3.063903024
0.00092,30.63841702,2.89839425,3.04432503
0.00134,30.36506101,2.875874928,3.018985461
0.00132,30.15663164,2.859451812,3.000072185
0.00115,29.97574428,2.845597405,2.984325149
0.00008,29.79760036,2.831367986,2.970939946
0.00136,29.64680586,2.825933535,2.975472023
0.00283,29.47222737,2.81931327,2.984799827
0.00132,29.41895103,2.818629698,2.991583711
0.00133,29.41470915,2.82263549,3.003330048
0.0023,29.31107326,2.820897691,3.014292152
0.00111,29.14171054,2.811009399,3.011620934
0.00116,29.01905466,2.809624872,3.014180188
0.00044,28.86169633,2.803047948,3.012093214
0.0001,28.74628663,2.799313392,3.013588213
0.00106,28.59801024,2.788877959,3.001732949
0.00123,28.48308205,2.780803301,2.991976871
0.00167,28.34638403,2.771142503,2.979516772
0.00129,28.22829014,2.762420473,2.968571676
0.00117,28.16945415,2.760043118,2.964863219
0.00079,28.16806488,2.765258929,2.972660391
0.00245,28.17410922,2.775994981,2.998824011
0.00122,28.90084634,2.851646508,3.087939828
0.00166,29.82613214,2.948313162,3.201447546
0.00193,30.7272406,3.042918637,3.314885443
0.0016,31.52779988,3.12724247,3.415375033
0.00147,32.24018383,3.203062264,3.507022717
0.0008,32.81169692,3.266732545,3.584481018
0.00187,33.27026522,3.327026522,3.656468688
0.00059,33.64238931,3.370294561,3.706281103
0.00142,33.83009265,3.394173196,3.73186518
0.00134,33.83942209,3.398154766,3.734687819
0.00139,33.94062989,3.411712117,3.747181302
0.0017,33.97720599,3.418786467,3.75268047
0.00152,33.88748545,3.413825284,3.745753204
0.00327,33.74110245,3.417298856,3.774212238
0.00347,33.56808362,3.411188657,3.787621147
0.00326,33.38555465,3.402321874,3.795870793
0.00034,33.2007617,3.398429968,3.804276079
0.00162,33.01797983,3.391937068,3.80083173
0.0027,32.83793997,3.378695644,3.782011222
0.00167,32.66297632,3.371799046,3.777767178
0.00149,32.51225684,3.370220544,3.791156733
0.00264,32.50901476,3.380287355,3.81795622
0.00338,32.46049554,3.383032845,3.83663581
0.00331,32.21123254,3.364785351,3.830624196
0.00013,32.12536886,3.359028568,3.825681676
0.00218,32.039847,3.355853575,3.819021603
0.00127,31.95465239,3.350125757,3.810847935
0.0016,31.88544724,3.346058833,3.803615001
0.00126,31.81648615,3.341367375,3.796311311
0.00085,31.72556177,3.335308309,3.788888666
0.00112,31.64888799,3.334526839,3.795334648
0,31.57264774,3.333124422,3.797210771
0.00048,31.49686419,3.330793388,3.798742299
0.00048,31.4215963,3.328489696,3.800065013
0.00007,31.34686024,3.327155746,3.801214313
0.0013,31.28368936,3.324204831,3.803345818
0.00158,31.22095234,3.32128491,3.805240892
0.00149,31.1393344,3.31602772,3.80354514
0.00149,31.06948685,3.311385908,3.803091607
0.00122,31.00027874,3.307729742,3.802556191
0.00157,30.93170576,3.303196858,3.794639799
0.00228,30.87091395,3.301026829,3.787490691
0.00119,30.81064177,3.296430563,3.780280881
0.00109,30.75090137,3.29249901,3.773719865
0.001,30.71717737,3.293188586,3.773175199
0.00104,30.71511077,3.299110048,3.783948071
0.00033,30.7130448,3.303802229,3.791033972
0.00033,30.70272461,3.307911549,3.796883142
0.00009,30.65136567,3.307895383,3.797428344
0.00009,30.49840941,3.295353137,3.78384616
0.00008,30.44756625,3.294122193,3.782805631
0.00022,30.37847962,3.291508267,3.780935952
0.0012,30.31707044,3.287279948,3.77850744
0.0013,30.25628725,3.282807167,3.776045161
0.0013,30.20553419,3.279112792,3.774664786
0.00119,30.15521306,3.276062347,3.773140879
0.00004,30.09529861,3.271058006,3.767630433
0.00173,30.03598526,3.267915196,3.760625498
0.00114,29.98563271,3.264535833,3.754471086
0.00112,29.93570839,3.260896715,3.748339855
0.00088,29.88619453,3.257894066,3.743186092
0.00013,29.8245133,3.255643872,3.74079923
0.00046,29.77589448,3.253909749,3.73961414
0.0002,29.72767204,3.251612768,3.737541295
0.00009,29.67982819,3.249644389,3.735473496
0.00007,29.61980293,3.246626599,3.731858211
0.00014,29.57314858,3.244470131,3.729233182
0,29.52685107,3.242343516,3.726701981
0.00047,29.48089287,3.240539744,3.725647836
0.00033,29.42134326,3.236936185,3.722447192
0.00083,29.37601896,3.234299687,3.721060322
0.0011,29.33101905,3.231105059,3.719730505
0.0013,29.28632638,3.22764603,3.718455574
0.00135,29.27031262,3.227344669,3.720900681
0.00066,29.26774941,3.22823276,3.722799189
0.0001,29.26518719,3.228242799,3.722736667
0.00075,29.25239067,3.22800131,3.721459889
0.0021,29.18874347,3.225356153,3.714938948
0.0007,29.12672334,3.222289403,3.713395085
0.00109,29.08021767,3.221506513,3.715259529
0.00046,29.03390926,3.219570198,3.714540283
0.00044,28.98779197,3.217355031,3.713799956
0.0008,28.9418428,3.215438735,3.714193512
0.00047,28.89605845,3.2132417,3.713403575
0.00048,28.84024911,3.209631323,3.711220936
0.00046,28.79816875,3.207540035,3.710615245
0.00017,28.75619798,3.205453389,3.709722077
0.00051,28.70100756,3.201597393,3.707911868
0.00047,28.65403819,3.198077202,3.70341982
0.00079,28.6072049,3.194566571,3.69782452
0.00038,28.56048974,3.190492309,3.692242993
0.00002,28.51390558,3.185288392,3.686334741
0,28.46743551,3.180097221,3.680469335
0.00007,28.42109467,3.175488907,3.67507491
0.00032,28.37486733,3.172593916,3.671878082
0.00061,28.32877025,3.170839254,3.672456789
0.00019,28.2827888,3.16710669,3.66759892
0.00014,28.23694091,3.16366686,3.663376003
0.00033,28.19121286,3.160516874,3.660769946
0.00024,28.14562344,3.156813125,3.655638009
0.00003,28.10015949,3.153118896,3.650800821
0.00047,28.05484054,3.150558593,3.647942861
0.00054,28.04511186,3.15142922,3.646902211
0.00028,28.0435443,3.153216121,3.647483589
0.00009,28.04262386,3.153393053,3.647784512
0.00036,28.04721231,3.153909024,3.649334983
0.00001,28.25496274,3.17727056,3.676592262
0.00002,28.91110479,3.251342845,3.761941866
0.00016,29.41471442,3.307978784,3.827207323
0.00079,29.96822689,3.371125843,3.897907335
0.00276,30.81771711,3.470383124,4.004546614
0.00034,31.54806163,3.554835584,4.099859897
0.00042,32.28160635,3.639751116,4.196124601
0.00011,33.00826683,3.724652829,4.292461035
0.00089,33.72107867,3.807784203,4.3897763
0.00147,34.41530693,3.888929683,4.48617292
0.00145,35.08777004,3.966672403,4.57990136
0.00047,35.73647313,4.042867205,4.665182148
0.00028,36.36024604,4.114525442,4.748648133
0.00027,36.95857799,4.184080614,4.828379504
0.0002,37.53139384,4.249304411,4.904039576
0.00006,38.07897551,4.311301607,4.97577973
0.00013,38.60182001,4.370498062,5.044370033
0.00005,39.22211663,4.440728045,5.125467757
0.00005,39.69754685,4.49495323,5.187437237
0,40.1502004,4.546207191,5.246587287
0.00008,40.58097462,4.594983756,5.303243506
0.00038,41.12452719,4.656118968,5.374975704
0.00188,41.55443628,4.703546643,5.436026691
0.00109,41.96059556,4.748260994,5.491131377
0.00046,42.02987172,4.756100284,5.500113073
0.00006,42.04251701,4.75795165,5.499665735
