ab_speed,total_power,flexionXPower,lateralXPower
0.00141,0.18721014,0.048126967,0.08433886
0.00072,0.1887926,0.048592811,0.084849735
0.00048,0.1951273,0.050266863,0.087568849
0.0003,0.20751936,0.053496269,0.09299851
0.00052,0.21158061,0.054585746,0.094622107
0.00104,0.22037089,0.056888007,0.098455648
0.00155,0.22338587,0.057701239,0.099741708
0.00162,0.22802564,0.058935356,0.101757612
0.0007,0.2296592,0.059372953,0.10246137
0.00023,0.23156542,0.059870933,0.103302795
0.00006,0.23185481,0.059945755,0.10341957
0.00025,0.23118995,0.059773856,0.103096793
0.00123,0.23026363,0.059534357,0.102576008
0.0014,0.22767766,0.058870843,0.101287689
0.00121,0.22550757,0.058329868,0.10008575
0.00067,0.22071899,0.05712083,0.097645275
0.00189,0.21829408,0.056537157,0.09633813
0.00059,0.21075064,0.054611684,0.092785752
0.0006,0.20678513,0.053593341,0.090774637
0.00024,0.19917301,0.051638271,0.087245334
0.00023,0.19506061,0.050585146,0.085259401
0.00122,0.18479938,0.047952989,0.080635479
0.00126,0.1799989,0.04673145,0.078466848
0.0004,0.17079602,0.044349821,0.074427806
0.00043,0.17026435,0.04421937,0.074179228
0.00023,0.16711515,0.043405224,0.072797146
0.00001,0.15705905,0.040796836,0.068403801
0.00054,0.14809889,0.038462777,0.064458883
0.00239,0.14171346,0.036779095,0.061504926
0.00232,0.13471317,0.034941238,0.058291551
0.00057,0.12904483,0.033465247,0.055735928
0.00007,0.1203776,0.031222948,0.051860649
0.00021,0.1166786,0.030268732,0.050089279
0.00154,0.10966522,0.028476266,0.046954914
0.00108,0.10633984,0.02763178,0.045421449
0.00058,0.09928211,0.025800088,0.042264016
0.00009,0.09639209,0.025059834,0.04093162
0.00081,0.08985817,0.02337922,0.038078113
0.00102,0.08724747,0.022713611,0.03693471
0.00127,0.08232046,0.021449322,0.034826485
0.00045,0.07927917,0.020662199,0.033528881
0.00025,0.07480654,0.019496516,0.031612657
0.00185,0.07273396,0.018946601,0.030654586
0.0019,0.06843728,0.01781818,0.028766099
0.00238,0.06664666,0.01734007,0.027917571
0.00093,0.06306449,0.016403838,0.026375474
0.0007,0.06271145,0.016312008,0.026171158
0.00072,0.0623383,0.016230263,0.0259231
0.00003,0.06137072,0.015982458,0.025468328
0.0003,0.05598591,0.014587623,0.02318428
0.00029,0.0534307,0.013924227,0.022065749
0.00003,0.04954352,0.012914534,0.020413729
0.00004,0.04642976,0.012105979,0.01908682
0.00091,0.04137975,0.010793874,0.017004945
0.00091,0.03883714,0.010136708,0.015954834
0.00109,0.03373599,0.008811307,0.013847974
0.00027,0.03119153,0.008146735,0.012769812
0.00005,0.02558756,0.006683638,0.010453061
0.00005,0.02313375,0.00604372,0.009430217
0.00007,0.01827365,0.004774013,0.007432733
0.00036,0.01507235,0.003936996,0.006117746
0.0009,0.01002934,0.002618385,0.004062726
0.00089,0.0075488,0.001969773,0.003051747
0.00036,0.00199868,0.000521399,0.000806248
0.00118,0,0,0
0.00087,0,0,0
0.00027,0,0,0
0.00005,0,0,0
0.00043,0,0,0
0.00012,0,0,0
0.0001,0,0,0
0.00086,0,0,0
0.00094,0,0,0
0.00091,0,0,0
0.00056,0,0,0
0.00039,0,0,0
0.0001,0,0,0
0.00002,0,0,0
0.00029,0,0,0
0.00078,0,0,0
0.00082,0,0,0
0.0008,0,0,0
0.00069,0,0,0
0.00005,0,0,0
0.00034,0,0,0
0.00002,0,0,0
0.00006,0,0,0
0.00027,0,0,0
0.00015,0,0,0
0.00005,0,0,0
0.00006,0,0,0
0.00056,0,0,0
0.00032,0,0,0
0.00074,0,0,0
0.00005,0,0,0
0.00014,0,0,0
0.00026,0,0,0
0.00007,0,0,0
0.00009,0,0,0
0.00009,0,0,0
0.00027,0,0,0
0.00011,0,0,0
0.00029,0,0,0
0.0007,0,0,0
0.00088,0,0,0
0.0005,0,0,0
0.00037,0,0,0
0.00052,0,0,0
0.00032,0,0,0
0.00053,0,0,0
0.0009,0,0,0
0.00042,0.02665423,0.007005717,0.00975923
0.00031,0.03989796,0.010491115,0.01455954
0.00007,0.07220246,0.018993603,0.026288467
0.00006,0.07904689,0.020802928,0.028714939
0.00013,0.07957989,0.020952086,0.028824527
0.00006,0.08091043,0.021313238,0.029237366
0.00006,0.1075025,0.028327664,0.038754733
0.00006,0.1228639,0.032391966,0.044186737
0.00017,0.14415648,0.038018442,0.051694727
0.00001,0.15331505,0.040450957,0.054849165
0.00018,0.16756014,0.044231865,0.059798759
0.0002,0.17349484,0.045821734,0.061764884
0.0002,0.18333282,0.048436422,0.065071058
0.00003,0.1864222,0.049273453,0.066005084
0.00079,0.19105001,0.050513703,0.067326117
0.00053,0.19205087,0.05078691,0.067478749
0.00085,0.19179637,0.050762446,0.067233017
0.00117,0.19062069,0.05048534,0.066769555
0.00111,0.18605626,0.049326331,0.064518069
0.00036,0.18327566,0.048613712,0.063388247
0.00019,0.17440471,0.046307444,0.059945613
0.00018,0.16945351,0.045015524,0.058082889
0.00037,0.15823602,0.042070926,0.053934018
0.00021,0.15193661,0.040413041,0.051639378
0.0004,0.14761137,0.039295556,0.049880616
0.00021,0.14746531,0.039273141,0.049684951
0.00041,0.14318448,0.038161848,0.047956473
0.00022,0.13351372,0.035599285,0.044582161
0.00027,0.11476178,0.030607072,0.038234814
0.00009,0.10552568,0.028146152,0.035149052
0.00217,0.08505512,0.022714673,0.028258277
0.00024,0.07420095,0.019819292,0.024532249
0.00081,0.05244802,0.014021906,0.017221932
0.00027,0.04259323,0.011389144,0.013951885
0.00061,0.02885333,0.007720342,0.009391214
0.00034,0.02491993,0.006670658,0.008086419
0.00034,0.02573088,0.00688946,0.008324131
0.00034,0.02688399,0.007201208,0.008670307
0.00034,0.02693861,0.007218245,0.008660813
0.00033,0.02699254,0.007234505,0.008650892
0.00036,0.02725214,0.007306517,0.008708792
0.00036,0.02833979,0.00760129,0.009029854
0.00002,0.0300593,0.008063167,0.009547489
0.00008,0.02935491,0.007874876,0.009298379
0.00027,0.02703263,0.007251891,0.008541228
0.00027,0.02269592,0.006087999,0.007152987
0.00006,0.01464238,0.003928029,0.004602072
0.00091,0.00681506,0.001829608,0.00213346
0.00107,0,0,0
0.00057,0,0,0
0.00058,0,0,0
0.00083,0,0,0
0.00072,0,0,0
0.00067,0,0,0
0.00057,0,0,0
0.00027,0,0,0
0.00018,0,0,0
0.00023,0,0,0
0.00045,0,0,0
0.00007,0,0,0
0.0002,0,0,0
0.00024,0,0,0
0.00025,0,0,0
0.00014,0,0,0
0.00041,0,0,0
0.00041,0,0,0
0.00039,0,0,0
