speed,difference_flex,difference_lateral,sterm_mast,sterm_mast_acc,sterm_mast_L,sterm_mast_L_acc
-0.0013,0.10626,0.121576,0.00392509,0.42232824,0,0.218729757
-0.00158,0.10638,0.121881,0.003883405,0.426211645,0,0.218729757
-0.00149,0.10649,0.122146,0.003821173,0.430032818,0,0.218729757
-0.00149,0.10658,0.122406,0.003761191,0.433794009,0,0.218729757
-0.00122,0.1067,0.122662,0.003694101,0.43748811,0,0.218729757
0.00157,0.10679,0.122678,0.003621403,0.441109514,0,0.218729757
0.00228,0.10693,0.122688,0.00355009,0.444659604,0,0.218729757
0.00119,0.10699,0.122694,0.003474311,0.448133915,0,0.218729757
0.00109,0.10707,0.122719,0.003393117,0.451527032,0,0.218729757
0.001,0.10721,0.122836,0.003344895,0.454871926,0,0.218729757
-0.00104,0.10741,0.123195,0.003341882,0.458213808,0,0.218729757
-0.00033,0.10757,0.123434,0.003338872,0.461552681,0,0.218729757
-0.00033,0.10774,0.123666,0.00332385,0.46487653,0,0.218729757
